timestamp,p_G_I_x,p_G_I_y,p_G_I_z,q_I_G_w,q_I_G_x,q_I_G_y,q_I_G_z,p_C_I_x,p_C_I_y,p_C_I_z,q_I_C_w,q_I_C_x,q_I_C_y,q_I_C_z,sun_az,sun_el
69.10000000000001,-6633937.27245482,-441700.91764991335,-318563.11560528993,0.6254757626117045,-0.4569403762875161,-0.31327614429453643,-0.5494029671556897,-6633984.202298072,-441693.8764008182,-318564.89241083845,-0.21522743869575678,-0.6406735326037056,0.3182341295242868,0.6647868929645593,344.22,-4.748
69.2,-6633875.121208131,-442338.75775950897,-319023.13829501276,0.6267341258117963,-0.4578053320990213,-0.30972636518199487,-0.5492614970628972,-6633922.050923284,-442331.708652373,-319024.9190796223,-0.2149855420544425,-0.6408094189008792,0.3181094710108585,0.6647938551210192,344.22,-4.748
69.3,-6633812.880294289,-442976.5918878108,-319483.1566646425,0.6279859782429908,-0.4586583128085925,-0.306171754803994,-0.5491129390043631,-6633859.809886357,-442969.5349255026,-319484.9414365592,-0.21474292741146092,-0.6409459100052013,0.3179842818704515,0.6648005806673859,344.22,-4.748
69.4,-6633750.5497141825,-443614.4200262528,-319943.1707079798,0.6292312899242422,-0.4594993047478594,-0.3026123716606278,-0.5489573072966928,-6633797.479188234,-443607.3552115931,-319944.9594754365,-0.2144995929258593,-0.641083002591632,0.31785856207847224,0.6648070719645995,344.22,-4.748
69.5,-6633688.129468706,-444252.24216626835,-320403.1804188256,0.6304700309869157,-0.46032829449235024,-0.29904827432465064,-0.5487946163553059,-6633735.058829854,-444245.1695020303,-320404.9731900414,-0.21425553678568132,-0.641220693292874,0.31773231164147997,0.6648133313845678,344.22,-4.748
69.60000000000001,-6633625.619558752,-444890.05829929205,-320863.18579098186,0.6317021716753796,-0.461145268861524,-0.2954795214403943,-0.5486248806940813,-6633672.54881216,-444882.9777882006,-320864.9825741614,-0.21401075722490837,-0.6413589786999021,0.3176055305805802,0.6648193613122799,344.22,-4.748
69.7,-6633563.019985217,-445527.86841675796,-321323.1868182507,0.6329276823475934,-0.46195021491879473,-0.291906171722684,-0.5484481149250015,-6633609.949136099,-445520.78006148996,-321324.9876215838,-0.21376525251879844,-0.6414978553684315,0.31747821893701506,0.6648251641385562,344.22,-4.748
69.8,-6633500.3307489995,-446165.67251010076,-321783.1834944349,0.6341465334756939,-0.4627431199715532,-0.28832828395575505,-0.5482643337577963,-6633547.2598026125,-446158.5763132849,-321784.9883260963,-0.21351902097430844,-0.6416373198118267,0.317350376780589,0.664830742266095,344.22,-4.748
69.9,-6633437.551850998,-446803.47057075496,-322243.1758133377,0.6353586956465768,-0.46352397157118336,-0.28474591699216867,-0.5480735519995868,-6633484.480812649,-446796.36653497204,-322244.9846814866,-0.2132720609496169,-0.6417773685109003,0.3172220041918919,0.6648360981023868,344.22,-4.748
70.0,-6633374.683292112,-447441.2625901557,-322703.16376876284,0.6365641395624767,-0.4642927575130735,-0.28115912975172824,-0.5478757845545269,-6633421.612167159,-447434.1507179377,-322704.97668154223,-0.2130243708383797,-0.6419179979025252,0.3170931012761399,0.6648412340693122,344.22,-4.748
70.10000000000001,-6633311.725073247,-448079.04855973803,-323163.1473545149,0.6377628360415438,-0.46504946583662204,-0.2775679812203949,-0.5476710464234451,-6633358.65386709,-448071.92885356897,-323164.96432005125,-0.21277594907340933,-0.6420592043893247,0.31696366816101734,0.6648461525937936,344.22,-4.748
70.2,-6633248.677195305,-448716.82847093686,-323623.12656439823,0.6389547560184168,-0.4657940848252402,-0.2739725304492041,-0.5474593527034859,-6633295.605913392,-448709.7009332521,-323624.9475908011,-0.2125267941275444,-0.6422009843356453,0.31683370499523145,0.6648508561122497,344.22,-4.748
70.3,-6633185.539659192,-449354.60231518815,-324083.10139221867,0.6401398705447933,-0.46652660300634813,-0.2703728365531808,-0.5472407185877497,-6633232.468307021,-449347.4669483744,-324084.92648758006,-0.21227690451883066,-0.6423433340671194,0.3167032119433389,0.6648553470719873,344.22,-4.748
70.4,-6633122.312465816,-449992.37008392724,-324543.07183178177,0.641318150789997,-0.4672470091513674,-0.2667689587102561,-0.5470151593649336,-6633169.241048926,-449985.2268903232,-324544.90100417635,-0.21202627879806163,-0.6424862498786718,0.31657218919923763,0.6648596279211797,344.22,-4.748
70.5,-6633058.995616085,-450630.13176858996,-325003.037876894,0.6424895680415424,-0.4679552922757076,-0.2631609561601821,-0.5467826904189683,-6633105.924140065,-450622.9807504849,-325004.87113437755,-0.21177491556287034,-0.6426297280188409,0.31644063696992575,0.6648637011274096,344.22,-4.748
70.60000000000001,-6632995.58911091,-451267.8873606122,-325462.9995213621,0.6436540937056955,-0.4686514416387493,-0.2595488882034489,-0.5465433272286587,-6633042.517581395,-451260.7285202475,-325464.83687197237,-0.21152281345389004,-0.6427737647135073,0.31630855548283576,0.6648675691526377,344.22,-4.748
70.7,-6632932.092951205,-451905.6368514304,-325922.95675899356,0.6448116993080317,-0.4693354467438218,-0.2559328142001993,-0.5462970853673204,-6632979.021373872,-451898.4701909977,-325924.7982107486,-0.2112699711387883,-0.6429183561361593,0.3161759449970988,0.6648712344818248,344.22,-4.748
70.8,-6632868.5071378825,-452543.3802324805,-326382.90958359616,0.6459623564939913,-0.4700072973381759,-0.25231279356914627,-0.546043980502417,-6632915.435518456,-452536.2057541234,-326384.75514449493,-0.21101638734185504,-0.643063498441363,0.31604280577942084,0.6648746995928019,344.22,-4.748
70.9,-6632804.831671858,-453181.11749519926,-326842.85798897856,0.6471060370294304,-0.4706669834129525,-0.24868888578648787,-0.5457840283951974,-6632851.760016106,-453173.9352010121,-326844.7076669997,-0.21076206081726953,-0.6432091877362216,0.3159091381260926,0.6648779669820598,344.22,-4.748
71.0,-6632741.066554049,-453818.84863102296,-327302.8019689492,0.648242712801171,-0.47131449520314544,-0.24506115038482396,-0.5455172449003303,-6632787.994867786,-453811.65852305153,-327304.6557720515,-0.21050699036919995,-0.6433554201045832,0.31577494234682785,0.6648810391428034,344.22,-4.748
71.10000000000001,-6632677.211785377,-454456.5736313888,-327762.74151731783,0.6493723558175452,-0.4719498231875614,-0.2414296469520724,-0.5452436459655411,-6632724.140074459,-454449.3757116296,-327764.59945343883,-0.21025117483083589,-0.6435021915843776,0.3156402187819689,0.664883918585513,344.22,-4.748
71.2,-6632613.2673667595,-455094.29248773324,-328222.6766278941,0.6504949382089389,-0.47257295808877303,-0.237794435130386,-0.5449632476312453,-6632660.195637087,-455087.0867581339,-328224.53870495025,-0.20999461308642012,-0.6436494981872829,0.3155049677837414,0.6648866078210057,344.22,-4.748
71.3,-6632549.233299122,-455732.00519149384,-328682.60729448864,0.6516104322283303,-0.4731838908730695,-0.23415557461506872,-0.5446760660301834,-6632596.161556639,-455724.79165395274,-328684.4735203748,-0.20973730405195318,-0.643797335887441,0.31536918973350736,0.6648891093694369,344.22,-4.748
71.4,-6632485.109583385,-456369.7117341076,-329142.5335109122,0.6527188102518267,-0.47378261275040046,-0.23051312515349243,-0.544382117387054,-6632532.037834079,-456362.49039047427,-329144.40389350115,-0.2094792466948956,-0.6439457006293301,0.315232885023533,0.6648914257552735,344.22,-4.748
71.5,-6632420.896220477,-457007.41210701194,-329602.4552709761,0.6538200447791974,-0.4743691151743172,-0.22686714654401452,-0.5440814180181478,-6632467.82447038,-457000.1829590867,-329604.3298181183,-0.2092204400177744,-0.6440945883235989,0.3150960540724437,0.6648935595093384,344.22,-4.748
71.60000000000001,-6632356.593211325,-457645.1063016444,-330062.37256849237,0.6549141084344039,-0.4749433898419073,-0.22321769863489493,-0.5437739843309786,-6632403.521466508,-457637.8693511786,-330064.25128801516,-0.20896088306006358,-0.6442439948444628,0.3149586973229463,0.6648955131719861,344.22,-4.748
71.7,-6632292.200556857,-458282.79430944275,-330522.2853972733,0.6560009739661262,-0.47550542869372686,-0.21956484132321366,-0.5434598328239162,-6632339.128823434,-458275.549558138,-330524.1682969808,-0.20870057490648347,-0.6443939160365534,0.31482081523465805,0.6648972892874235,344.22,-4.748
71.8,-6632227.718258006,-458920.4761218447,-330982.19375113177,0.6570806142482868,-0.4760552239137263,-0.21590863455378886,-0.543138980085818,-6632274.646542135,-458913.2235713538,-330984.0808388044,-0.20843951468224334,-0.6445443477147742,0.31468240828870886,0.6648988904033345,344.22,-4.748
71.9,-6632163.1463157,-459558.15173028805,-331442.09762388095,0.6581530022805716,-0.4765927679291721,-0.2122491383180948,-0.5428114427956585,-6632210.07462358,-459550.89138221496,-331443.98890727543,-0.20817770155919713,-0.644695285664161,0.3145434769816095,0.6649003190721563,344.22,-4.748
72.0,-6632098.484730879,-460195.82112621114,-331901.99700933485,0.6592181111889462,-0.4771180534105648,-0.2085864126531804,-0.5424772377221615,-6632145.413068747,-460188.55298211,-331903.892496183,-0.20791513473743067,-0.6448467256316595,0.3144040218420505,0.664901577857044,344.22,-4.748
72.10000000000001,-6632033.733504475,-460833.4843010518,-332361.89190130756,0.6602759142261714,-0.4776310732715513,-0.2049205176405877,-0.5421363817234286,-6632080.661878613,-460826.20836242783,-332363.79159931646,-0.20765181346807066,-0.6449986633393966,0.31426404341044367,0.6649026693217075,344.22,-4.748
72.2,-6631968.892637427,-461471.14124624897,-332821.78229361423,0.6613263847723128,-0.4781318206688336,-0.20125151340527173,-0.5417888917465685,-6632015.821054156,-461463.8575145575,-332823.6862104653,-0.2073877370373889,-0.6451510944731262,0.3141235422527146,0.6649035960402419,344.22,-4.748
72.3,-6631903.962130674,-462108.7919532406,-333281.66818006994,0.6623694963352494,-0.47862028900207226,-0.1975794601145194,-0.5414347848273269,-6631950.890596352,-462101.5004298885,-333283.5763234194,-0.2071229047732783,-0.6453040146972046,0.3139825189561514,0.6649043605827076,344.22,-4.748
72.4,-6631838.941985155,-462746.43641346536,-333741.5495544903,0.6634052225511783,-0.4790964719137863,-0.1939044179768695,-0.5410740780897138,-6631885.870506186,-462739.1370998097,-333743.46193196805,-0.20685731605408814,-0.645457419641819,0.31384097411870754,0.6649049655299955,344.22,-4.748
72.5,-6631773.832201817,-463384.07461836195,-334201.4264106916,0.6644335371851156,-0.47956036328924756,-0.19022644724103327,-0.5407067887456315,-6631820.760784638,-463376.767515711,-334203.3430299014,-0.20659097028259948,-0.6456113049101052,0.31369890837556064,0.6649054134626569,344.22,-4.748
72.60000000000001,-6631708.632781601,-464021.7065593693,-334661.2987424907,0.6654544141313946,-0.48001195725637136,-0.18654560819481497,-0.5403329340945028,-6631755.561432692,-464014.3916689815,-334663.2196110088,-0.20632386691516516,-0.6457656660700701,0.31355632236920655,0.6649057069739666,344.22,-4.748
72.7,-6631643.343725454,-464659.3322279261,-335121.1665437046,0.6664678274141616,-0.4804512481856026,-0.1828619611640332,-0.5399525315228972,-6631690.272451333,-464652.0095510111,-335123.0916690806,-0.20605600544283337,-0.6459204986708981,0.3134132167703731,0.6649058486502644,344.22,-4.748
72.8,-6631577.965034325,-465296.9516154718,-335581.0298081511,0.6674737511878666,-0.48087823068979735,-0.17917556651144237,-0.5395655985041574,-6631624.893841547,-465289.6211531889,-335582.95919790614,-0.20578738539686917,-0.6460757982202745,0.31326959226906803,0.6649058410956602,344.22,-4.748
72.9,-6631512.49670916,-465934.564713445,-336040.8885296481,0.6684721597377523,-0.4812928996241,-0.17548648463565505,-0.5391721525980259,-6631559.425604321,-465927.2264669057,-336042.8221912762,-0.20551800635801554,-0.6462315602188196,0.31312544957064203,0.6649056868977434,344.22,-4.748
